2FI1204,2PI1211,2FIC1201,2K-167A,2K-167,2K-169,2PI1301,2PI1212,2K175,2FI1203,2LIAS3250
31.8607769,34.91545868,31.65857124,-1.503837347,38.52441025,-0.259898782,49.61909485,32.36274338,29.99370766,1.871354938,22.0606308
33.68434906,35.35573959,29.74285889,-1.499703765,40.54723358,-0.241207734,49.95113373,32.85769653,31.72926521,2.040272236,6.408975124
34.76354218,35.60271454,34.34154129,-1.495570183,42.90359879,-0.229870528,50.49759293,33.04487228,35.69885254,2.22583127,6.793446064
35.29506683,35.94205856,33.60649872,-1.491436601,42.71556473,-0.225129142,49.37623978,33.32424545,35.79883575,2.237631559,13.45859623
33.69087601,35.335289,32.60406113,-1.487302899,43.16139984,-0.235098377,48.56140518,32.60842133,34.30511856,2.158609867,3.068412066
34.40568542,35.51992416,35.48222733,-1.485419869,45.0308342,-0.227201745,50.13978195,32.92348862,32.84191895,2.103823423,2.356874466
33.79494858,35.25845718,26.54071999,-1.484041929,38.09683609,-0.222078368,50.36169815,32.81735229,30.94282913,1.991133213,7.408426285
31.97018814,34.73284531,34.46761322,-1.482664108,41.15306473,-0.217435658,51.5296936,32.26538849,31.75998116,2.060352087,3.319148064
30.36619568,34.50457764,33.6190567,-1.481286287,42.15494537,-0.217013881,49.848629,32.05350113,27.65912056,1.694566131,1.94461894
32.24440765,34.94086075,21.08831215,-1.479908347,29.78448868,-0.224247679,50.62281418,32.48439407,27.75563431,1.795319557,16.26178551
29.77865028,34.18769836,32.06357574,-1.478530526,40.1417923,-0.217073873,49.68204117,31.6608429,21.90713692,1.515656352,4.884494781
32.7052002,34.56487274,30.11407852,-1.477152705,41.2494278,-0.217075109,49.98068619,32.13090134,28.37456512,1.752443552,-1.824612856
30.35678864,34.65786362,26.18115234,-1.475774765,35.2394371,-0.242332175,51.16283417,32.17056656,28.76979637,1.743772149,13.93729401
35.47645569,35.56425095,37.59871292,-1.48002243,45.86472321,-0.235309511,49.85446548,32.95319748,39.86704254,2.543887377,-3.833882332
35.38912201,35.54336929,29.37893105,-1.484618545,38.83683395,-0.227864578,49.26298904,33.20755005,37.24116135,2.434445858,2.210075378
31.30656433,34.66623306,26.17680168,-1.489214659,36.48540878,-0.23383233,48.96014786,32.08444595,28.15033531,1.855044484,10.08911514
33.57041931,35.30571365,21.91261101,-1.493810773,33.20514679,-0.235098377,48.47016907,32.72322464,30.32762718,2.053939104,16.3090744
31.43260193,34.742836,27.4313221,-1.498406887,34.92121887,-0.238715276,50.05405045,32.14574051,29.33968163,1.882441759,31.9982872
29.93995857,34.63107681,30.61133575,-1.503003001,38.96122742,-0.245249957,50.77482224,32.30938339,31.58311272,2.142259121,7.669614315
32.18341064,35.00590897,34.67690277,-1.507599235,41.86571121,-0.23962751,50.52226257,32.46250916,29.94784737,2.006494999,6.248957157
33.51953888,35.28522491,27.62827492,-1.511830211,36.92026901,-0.266708523,49.39129257,32.80706024,30.19849586,1.986072063,13.02084637
32.60960388,35.08124161,25.59708405,-1.511370778,34.88632202,-0.269322276,48.41566086,32.62935257,27.93676949,1.739570379,15.26263332
34.3547821,35.75810242,29.52299309,-1.510911345,42.68663025,-0.264033556,47.78819656,33.34720612,35.88675308,2.180937529,6.4263587
36.19955063,36.05028915,36.19396591,-1.510451794,47.26700592,-0.247395322,48.82326126,33.3597908,39.32892609,2.492138624,-1.418261766
33.27937317,35.5015564,28.67524338,-1.509992361,33.66622543,-0.246527657,50.43758392,32.79751205,35.74251175,2.303066015,31.76105499
32.26043701,35.25716019,32.14356232,-1.509532928,40.53452682,-0.25643295,49.81122208,32.67572021,31.94843674,2.087262392,9.493847847
32.67645645,35.26033401,29.93834114,-1.509073496,39.39720154,-0.242116868,48.59207535,32.75450516,31.27628517,2.065571785,9.352695465
32.91256332,35.11248779,28.32788086,-1.508614063,41.11192322,-0.256559372,48.3654747,32.61148453,32.12628174,2.047050238,0.492269129
33.23960495,35.27857208,28.53530121,-1.508062601,40.68286896,-0.258563697,47.71628189,32.81259537,30.49435234,2.054080009,6.941790581
32.10284424,34.81928635,30.93475723,-1.50714314,40.69010162,-0.253182858,49.68804169,32.33519363,29.71380806,1.842071414,-0.560723245
31.40241241,34.84063721,31.39201736,-1.506223559,39.38179016,-0.252059132,52.18258286,32.24361801,30.94664764,2.042850733,5.031608582
37.499897,35.87966537,37.51216888,-1.505303979,45.15697098,-0.246799305,51.32151031,33.35119247,35.40585709,2.328083277,8.269872665
33.21479797,34.74144745,27.97016525,-1.504384398,37.53977203,-0.239536345,49.59438324,32.34684753,28.58175468,1.777049899,8.717851639
31.26368523,34.72052383,29.18924332,-1.503464818,41.27354813,-0.245949075,47.30727386,32.06111145,27.19098473,1.602864146,2.621112108
35.03868484,35.25605774,30.67335701,-1.502545238,40.84521103,-0.241156891,49.59955597,32.74515533,36.95167923,2.373813868,4.640971661
32.59331512,35.18715286,28.69783401,-1.501625776,39.38874435,-0.220416144,49.95497894,32.76242065,29.80052757,1.905418277,-1.140443325
33.01150894,35.04608536,33.23773956,-1.502544165,40.11768341,-0.246069118,51.55947876,32.59242249,34.36811447,2.347927809,10.24862385
33.5837822,35.2208519,38.64928436,-1.507138729,45.70675659,-0.245949075,49.59179306,32.38452911,30.865942,2.158769131,-0.982631385
35.9150238,35.69989014,30.22161102,-1.511733174,39.53790665,-0.258970052,50.50753784,33.06058121,32.03848267,2.089191437,13.78104305
33.39189529,35.44271469,32.97040176,-1.516327739,43.86574173,-0.257101536,48.00558472,32.8211441,30.65004349,1.984158874,1.776418805
33.58993912,35.38058472,29.22790718,-1.520922184,38.96530914,-0.252088785,48.80994034,32.75883484,30.19627953,1.952516794,12.25941181
34.93699646,35.59082031,30.39936638,-1.525516748,43.30012131,-0.253638774,49.88214111,33.00107193,34.55180359,2.154942274,-0.284069657
35.75114441,35.83550644,27.21715927,-1.530111313,37.38425446,-0.256799757,50.70424271,33.18505096,35.34841919,2.257595778,12.58430481
34.30334854,35.30882263,32.85840988,-1.534705758,38.68518829,-0.270203203,50.09935379,32.85401535,32.73289108,2.061069489,22.27921295
35.49970245,35.6601181,31.64811897,-1.533575654,39.11779404,-0.221264035,49.48809814,33.05120087,34.65194321,2.175083637,20.92746544
33.75910187,35.14293671,26.25403786,-1.525755405,36.69861221,-0.235069424,48.36412048,32.61623764,29.71367836,1.812098026,13.92322159
34.66482925,35.74674606,27.5551033,-1.517935038,39.02220535,-0.224247679,48.80191803,33.28168488,32.29320908,1.981026649,9.978039742
34.34861755,35.57182312,35.24310684,-1.510114789,46.12534332,-0.227864578,50.06480026,33.12158966,38.47671127,2.394085169,-4.899885654
37.97348785,36.1852951,27.56177902,-1.502294421,39.7279892,-0.224247679,48.49650192,33.68302155,42.59799194,2.545421839,1.592674017
36.65287399,35.70924759,29.21424294,-1.494474173,38.7189827,-0.227562755,50.69372177,33.16760254,41.69015121,2.670885563,4.526233673
35.4394455,35.44590759,29.58577347,-1.486653805,40.01374435,-0.238350123,48.96593475,32.99610901,39.80002213,2.481372833,3.900365829
34.79771042,35.37310791,23.77666283,-1.478833556,34.69690323,-0.193055943,48.56362152,32.8915062,35.17822266,2.228022814,15.00843239
33.85692215,35.17306519,32.67733765,-1.47816968,44.19723511,-0.224247679,49.50629807,32.60506439,31.5342617,1.942733407,1.090892911
30.60069275,34.87112045,37.99059677,-1.482304692,44.22382355,-0.206801802,51.72473145,32.26190567,28.50663567,1.819076657,7.929213524
33.68373871,35.47728729,33.17560577,-1.486439824,42.34302521,-0.209019914,50.22507858,32.92241287,35.61201859,2.252508402,7.694009304
35.07693481,35.73793793,28.48824501,-1.490574837,39.45649719,-0.208808213,49.43193054,33.23126221,36.67085648,2.251964331,5.287209511
32.91707993,34.97958374,28.73537636,-1.494709969,35.87366486,-0.185649887,50.01898575,32.44174194,29.69827843,1.782344341,24.6448307
36.23973846,35.79713821,27.05796051,-1.498844981,39.02994537,-0.181269705,48.37757874,33.30290222,32.38196182,2.164909124,6.494051456
35.45788193,35.23978424,26.7209053,-1.502979994,37.85585785,-0.211632296,50.00922394,32.72183609,30.9535408,2.021800995,9.606826782
30.9210968,34.68534851,31.20762444,-1.507115126,37.59583664,-0.22566542,51.44677734,32.23857498,26.76259804,1.662278056,18.44062805
35.0998764,35.33788681,30.65985107,-1.508580565,38.87523651,-0.244611576,50.15819168,32.77070618,30.85589409,2.045122385,17.72809982
32.71160889,34.92085266,31.37529945,-1.509040356,40.74765396,-0.245949075,48.82860565,32.4717598,28.4853344,1.830077529,6.195025921
33.72774124,35.31010818,30.57359314,-1.509500265,38.14736176,-0.228897765,49.10549545,32.87325668,29.09064293,1.810108304,16.91900253
32.6593132,35.00942612,27.37027931,-1.509960055,39.29758453,-0.249900207,49.0318222,32.44184494,25.46242332,1.64895165,9.832369804
31.05478668,34.75159836,28.33172226,-1.510419965,37.69777298,-0.220478848,50.70087051,32.16948318,25.26174736,1.670165539,13.0356493
32.93905258,35.02852249,33.22126007,-1.510879755,40.87465286,-0.238837063,50.54670715,32.49407578,28.19734573,1.831614137,12.81826115
35.1727562,35.35231018,33.82141495,-1.511339664,40.00912094,-0.240204677,50.44327927,32.9236412,31.61833954,2.120215654,20.2232151
33.18073654,35.19758224,32.80947113,-1.511799455,41.29771805,-0.230577216,49.94170761,32.61080551,29.88642693,1.882456064,14.33426189
36.05741882,36.38609695,32.29209518,-1.506719112,45.46864319,-0.238198712,47.62376785,33.8262825,34.08213425,2.067040682,0.065574363
36.08110046,36.01296997,26.52692223,-1.500745296,39.88031769,-0.203511506,48.29158401,33.51905823,32.01785278,1.967920542,6.887934208
34.18182373,35.87444687,36.31576538,-1.494771361,45.7754631,-0.242332175,51.19698334,33.23591614,34.88418961,2.199311018,-1.762916327
34.89745712,35.6247139,32.54872131,-1.488797545,42.01891327,-0.244702756,50.79794312,33.10129166,32.0123291,2.034944773,3.927680016
34.85061264,35.50982285,32.67322922,-1.48282361,43.04835129,-0.227864578,50.57154846,32.78361893,34.18771362,2.159513712,-1.777515292
34.70869446,35.75849915,30.75824928,-1.476849675,46.30590439,-0.224247679,47.87521744,33.18451309,33.10017014,2.013091326,-7.047680378
35.14046478,35.5521431,26.39125633,-1.470875859,37.71939468,-0.22063078,48.20726013,33.07099152,31.54683113,2.028796673,12.01815987
30.92064476,35.24714661,33.12838745,-1.464901924,44.20001221,-0.217013881,48.93553162,32.70495605,31.83919525,1.914105535,6.978018284
33.88376999,35.81502151,31.91439629,-1.468482971,40.30886078,-0.19591175,51.80848312,33.25157166,33.05844879,2.175801516,11.36910057
33.00714493,35.37020874,27.731884,-1.472157836,39.16130829,-0.179262072,49.46547699,32.8633194,32.37350464,2.059642076,8.199349403
35.42892075,35.85445023,27.76634407,-1.47583282,38.02656174,-0.173732951,49.90326691,33.37520981,32.28586197,2.087672949,13.06856918
36.32082367,35.74116135,28.84882355,-1.479507804,39.74721527,-0.209780082,49.41918945,33.30607224,31.62981987,2.132363319,13.23270226
33.21880341,35.16690826,28.48072815,-1.483182788,39.453125,-0.222241387,48.27756882,32.637043,34.57417297,2.155069351,7.012566566
29.66716576,34.4066658,34.6300087,-1.486857772,40.05732346,-0.224459961,49.35140991,31.9662571,47.14857864,2.892190695,7.676194191
36.2807045,35.61403656,33.03757477,-1.490532637,41.60183334,-0.230377436,52.47167587,33.09522629,58.46959686,3.430672646,6.933092117
35.59466934,35.57978439,30.79636002,-1.494154096,37.60518265,-0.225616083,50.26011658,33.06919861,57.39081955,3.41934824,14.24534893
33.54077148,35.06721878,29.52082634,-1.497369647,36.54193497,-0.245949075,50.04572678,32.5351181,41.82090759,2.79002285,20.18220329
34.8156395,35.67290115,27.24975586,-1.500585198,37.82289124,-0.256136537,49.14096069,33.18252182,37.20703125,2.423247576,18.10192108
34.23718643,35.15200424,26.57667542,-1.503800869,38.74394226,-0.235675365,48.08092117,32.57488251,33.94173813,2.164386988,7.283639908
36.69067001,35.96566391,26.52492332,-1.50701642,37.82292938,-0.249778271,50.67753601,33.39369965,44.79837418,2.898680925,11.42243099
36.70059586,35.6818428,33.02895737,-1.510231972,42.14270782,-0.216163531,51.62311554,33.12073135,44.07140732,2.83792901,6.340508461
34.63038635,35.3212471,34.53317261,-1.513447642,39.40800858,-0.233031392,50.01425934,32.82570267,40.17750931,2.712304354,13.84355927
33.77997208,35.16925049,34.36672211,-1.516663194,43.59085464,-0.245949075,48.70265198,32.51445389,33.94853973,2.236849785,6.717977047
33.22616959,35.21081924,26.39612389,-1.518761992,35.81091309,-0.259150773,48.73917389,32.70441055,34.56669617,2.194227457,17.00473976
33.50862503,35.01860809,31.2196579,-1.517382622,41.10972595,-0.274884254,48.74951935,32.53183365,32.43710709,2.129202366,11.08385658
35.04707336,35.28887558,30.04525948,-1.51600337,41.54540253,-0.264214516,50.14170456,32.57194138,38.72732544,2.447700739,5.487857342
34.38811493,35.35658646,36.00055313,-1.514624,43.29273224,-0.245768145,51.05964661,32.80846786,35.05607224,2.231148243,2.003924847
36.35975647,35.69854736,32.90937042,-1.513244629,42.43587112,-0.256619513,49.9173584,33.1790657,47.42389297,2.803367853,1.645667553
35.6382103,35.45755005,29.071064,-1.511865377,39.24515533,-0.259330481,49.95740509,32.95970917,44.07865524,2.820508718,12.93324184
34.85521317,35.634552,30.69299698,-1.510486007,39.59531021,-0.235715359,49.01810455,33.10422897,43.08229828,2.757311583,19.83125305
35.40218353,35.63796997,25.88278198,-1.509106755,35.96281815,-0.243669093,49.62333298,33.1080513,36.90073013,2.457419872,16.44534874
36.88903046,35.75649643,30.62873268,-1.50720787,40.97945404,-0.256799757,49.96604538,33.24251175,43.24001694,2.744078875,5.784142971
32.84130096,35.02761459,41.98038483,-1.504448295,45.48416138,-0.255412549,51.18915176,32.45227051,30.24834824,2.143450737,22.05731392
38.21647644,35.94901657,31.97096443,-1.5016886,40.28803253,-0.24127762,49.53171539,33.3924675,63.39974976,3.623353004,16.02528572
36.93347168,35.7297287,28.92159653,-1.498929024,38.40060806,-0.259444386,49.7430191,33.27279282,61.35271454,3.489400148,3.300646544
34.87851715,35.40493774,32.34227371,-1.496169329,42.14405823,-0.245740011,48.30586624,32.66411209,47.53582382,2.835171938,2.141865492
37.33030701,35.73883057,30.20586014,-1.493409753,41.87282944,-0.212039784,49.0908699,33.21098709,62.61156082,3.459261656,12.55237961
37.14094543,35.78895569,34.50025558,-1.490650058,43.46077728,-0.245280653,51.55236816,33.29331589,48.0091095,3.013981104,4.933910847
35.37659073,35.56819916,34.98690796,-1.487890482,43.18092728,-0.250532478,49.46806717,33.13134766,45.05426788,2.842998505,9.395531654
33.97514343,35.32100296,36.32403183,-1.487016559,47.05110168,-0.237257525,48.64023972,32.8067627,41.9432106,2.618753672,-6.015099049
37.97401047,36.32311249,32.55139923,-1.487936616,43.15445709,-0.250814557,49.71468735,33.72718811,46.72932816,2.845688343,6.060002804
35.75984573,35.63628006,26.76943398,-1.488856673,38.84910202,-0.245949075,47.91145706,33.17268372,42.31549835,2.531683207,9.399496078
38.73880386,36.22881317,32.0164299,-1.489776731,43.46048737,-0.245949075,49.7685318,33.62031174,51.31100845,3.012901783,3.942625284
34.49347687,35.27013397,36.41137695,-1.490696788,43.17939758,-0.253182858,51.43224716,32.692276,40.70815277,2.628785849,8.761892319
37.42419815,36.00421524,28.92667198,-1.491616845,38.257061,-0.256950498,49.38428116,33.41144943,49.30154419,2.944565535,12.9540844
33.99158478,35.251194,34.79974747,-1.492536902,45.90084076,-0.253845185,47.85677719,32.69432831,41.57429886,2.582189322,-0.564930141
35.22455215,35.37430954,37.45047379,-1.49345696,48.33260727,-0.255292565,47.00082779,32.83864594,47.68437195,2.730477095,0.677747011
34.12198639,35.41449738,31.68579674,-1.495869398,43.31235504,-0.248927861,47.11749649,32.82518387,38.29574585,2.265407085,13.54796791
36.43867493,35.67842484,31.17326546,-1.499085546,41.43373871,-0.227110907,50.12230301,33.16030121,49.21631241,2.967605591,15.38488483
31.79083252,34.80949402,40.30537415,-1.502301693,47.77705383,-0.212672994,50.00690079,32.15663147,37.29655457,2.252874374,7.101739883
33.80080414,35.35033035,34.38273239,-1.50551784,42.87903976,-0.251511008,49.87785721,32.76395798,39.0787468,2.565154314,5.121157646
34.59999466,35.49241638,30.32138443,-1.508733988,42.42848969,-0.250112683,48.34376144,32.87324905,40.94644165,2.551038504,7.118810654
36.43531418,35.91654587,31.24438286,-1.511950135,39.85925674,-0.255172431,49.50564194,33.48836136,44.64284515,2.72008276,16.1545639
39.25128174,36.6060524,22.40648842,-1.515166283,35.67891312,-0.218018755,47.69800186,34.14587402,52.30552673,2.825039387,9.579939842
34.48739624,35.30084991,29.82255363,-1.51838243,43.04747009,-0.256799757,49.22977448,32.80822754,42.71397781,2.681998968,8.860262871
37.80226135,36.06162643,40.21411514,-1.515523195,45.21466827,-0.223036081,51.10827255,33.47325134,51.61506653,3.11106658,15.91607094
36.01212692,35.55045319,33.7243309,-1.510927796,39.73300171,-0.230936378,49.98165894,32.89520264,44.00543594,2.72315979,20.62924767
36.44351959,35.75171661,26.88558197,-1.506332517,37.85446548,-0.201041266,48.85545731,33.36767578,41.80545807,2.617090702,11.19067287
34.33795547,35.17174911,31.79480553,-1.501737118,44.76231766,-0.224491566,46.4238205,32.60912704,39.94140625,2.31743288,2.054567814
34.34556961,35.35914612,33.00373459,-1.497141838,45.66458893,-0.217013881,47.59794235,32.95514297,40.41081238,2.373619318,4.386072159
36.84708405,35.64171219,35.92447281,-1.492546558,46.2301178,-0.170416459,49.72393417,33.07301712,53.97141266,3.092648029,-0.05090645
36.74453354,35.70080948,34.78472519,-1.487951159,44.36741638,-0.2175266,48.51251602,33.18477631,49.72463608,2.875857115,12.90336227
35.08187485,35.71627808,39.71085358,-1.48335588,42.39512253,-0.201029897,49.33198166,33.07655334,45.98840714,2.804585934,17.23942757
32.65119171,35.52850723,23.87060738,-1.493349075,36.25125885,-0.227441013,47.88622284,32.98781967,37.18014908,2.248933315,8.262247086
31.99824142,35.13241577,28.19078636,-1.50483942,39.87464905,-0.211175561,46.68346786,32.79790115,38.89387512,2.385803938,15.2869215
36.04317474,35.94498825,31.80188179,-1.516329765,43.61891937,-0.231482342,48.08763504,33.29613113,51.32826233,2.825516462,17.07864761
29.87697411,34.40960693,34.98386765,-1.52782011,38.9528389,-0.231598765,48.97858429,31.8513279,36.54506302,2.347664118,42.43830109
34.37120438,35.22294235,31.51886749,-1.539310455,42.70111084,-0.278501153,47.89497375,32.74389648,44.84945297,2.614690542,18.85225677
34.55922318,35.18761063,30.79637146,-1.5508008,43.13146591,-0.259563982,47.14899826,32.88699341,42.22730637,2.514886141,1.353828192
30.34548187,34.65802383,30.38887024,-1.562291145,39.68487549,-0.282118052,47.4356041,32.24347687,35.4127121,2.130301714,12.16162014
29.54706192,34.25085449,26.28768921,-1.573212981,36.50891113,-0.261319518,45.65346909,31.7752533,31.97956848,1.872281194,21.82354164
29.69098091,34.44809723,26.16672516,-1.569539309,40.35758209,-0.288357586,47.51277161,31.97823524,34.70655441,2.098140478,2.053360939
28.65681267,34.67173767,41.41256332,-1.565865636,52.21610641,-0.282118052,46.73948669,32.00792313,33.40911102,1.926075459,4.104745865
33.43008423,35.23409653,30.15949821,-1.562191963,41.56436539,-0.278653085,46.99947357,32.69096756,34.28031921,2.048990011,14.27832985
30.22995949,34.89204407,26.47748375,-1.558518291,39.83943558,-0.27452293,47.16020203,32.47811508,32.02845764,1.967249751,4.200009346
28.93646622,34.41039276,34.97174454,-1.554844618,47.91666412,-0.260416657,45.37493515,31.91506577,30.74950218,1.724173784,6.440993786
30.31936073,34.85557175,25.11100197,-1.551170945,37.96676636,-0.260416657,46.86619186,32.33887482,31.34420204,1.858365059,14.66599274
31.32287788,34.7412796,31.92370033,-1.547497272,46.15644836,-0.277770877,45.55575562,32.28617859,31.12460518,1.872465849,-9.111746788
28.99145508,34.28487396,29.33691025,-1.543971062,42.12291336,-0.261843711,47.04984665,31.82832718,31.86647224,1.918887138,-0.996235788
29.741539,34.4460144,23.65651894,-1.541212916,33.4727211,-0.277041256,47.6464653,31.95068169,29.80277634,1.812696099,20.80953598
29.81163788,34.57779694,31.94948387,-1.538454771,41.81134415,-0.276089638,46.53391647,32.25349808,28.14308357,1.675604105,15.19487762
34.31960678,35.36368179,36.5909996,-1.535696626,46.96937561,-0.246953398,47.50349808,32.84723663,36.83060074,2.226830959,16.53018379
35.45434952,35.7281723,28.22099495,-1.53293848,46.33660889,-0.250590056,45.30453873,33.20727921,38.24146271,2.086361885,-13.42995453
33.4486084,35.33711624,31.97719574,-1.530180335,43.710186,-0.259814203,48.3652153,32.80908585,36.66819763,2.198782444,9.0825634
32.75192642,34.89419556,34.26416397,-1.52742219,42.11840057,-0.259929031,49.51127625,32.33346558,32.87516785,2.055911779,25.08931923
30.99022484,34.70607758,24.56705475,-1.524664044,36.09354782,-0.230667621,47.35072327,32.26328659,31.85398102,1.967461586,16.69352722
26.06121445,33.43616104,27.76336098,-1.522174954,38.85257339,-0.256799757,46.68701935,30.99682808,23.4215107,1.524530888,6.191514015
29.90181923,34.509655,29.00180626,-1.52033484,39.68476868,-0.256799757,45.75059509,31.89639282,28.55428314,1.574289322,15.84741879
30.96526146,34.5618515,26.07394791,-1.518494725,37.42013168,-0.215405703,46.05015945,31.98633957,32.24713135,1.885300517,20.73964691
30.05846786,34.68687439,36.67235565,-1.51665473,47.50735474,-0.246952444,48.25662231,31.99074173,33.25740051,2.026437044,-6.787059307
27.6489296,33.7858696,29.07963181,-1.514814615,39.71524811,-0.256799757,47.85433578,31.19504929,28.37248993,1.786174417,1.595128775
25.95270729,33.48496246,26.17351341,-1.512974501,37.40486908,-0.223067462,47.66098785,30.87940025,25.12400246,1.569717288,5.054952621
28.94920158,34.26440048,23.82989311,-1.511134505,35.84695053,-0.203450188,46.71342468,31.85750198,30.06072807,1.893653393,17.18617439
29.54592514,33.85113144,22.82425499,-1.509294391,34.82349396,-0.220963165,46.05177307,31.41993523,28.42591095,1.75197494,5.66690588
24.99223709,33.58798599,29.62589836,-1.508048654,43.04832077,-0.245949075,46.06536484,31.01557541,23.49515533,1.465054035,3.54741931
29.47223473,34.26172638,30.38676643,-1.507588863,39.32084274,-0.217014387,48.73516083,31.76794052,29.91537857,1.911323428,6.010464668
24.49720955,33.26573563,28.83323097,-1.507129192,35.26222992,-0.242424056,48.43545532,30.77719879,23.86386108,1.437701702,16.29448891
32.65520096,34.83015442,26.73794365,-1.506669521,40.00289154,-0.229537308,46.43989944,32.27391434,36.63068008,2.235316992,11.03491497
29.81244278,34.80461121,27.07976151,-1.50620985,38.58411789,-0.208057091,46.91214371,32.29981232,31.86836243,1.973662257,9.967384338
35.53466034,35.54338455,25.32825089,-1.505750179,40.80131149,-0.231295153,45.52381897,33.08637619,41.56993866,2.421150923,8.389979362
32.17681885,34.96225357,29.17139816,-1.505290389,40.31008911,-0.239169598,46.26118851,32.43254089,32.05339432,1.931921244,20.48755836
31.85238647,34.6832428,25.21741867,-1.504830718,37.83838654,-0.222740352,46.89004517,32.23199463,29.96078491,1.869625092,15.58030891
34.46060944,35.43654251,31.2667923,-1.503596067,44.16368484,-0.225934833,47.14543533,32.80566788,36.56718445,2.124019861,-2.933433056
35.10447311,35.6179657,30.25466347,-1.501758575,42.01388931,-0.232514292,47.68437958,33.02600861,39.60412216,2.312283278,10.35823536
32.15706253,35.1689415,34.45137024,-1.499921083,43.78806305,-0.22974892,47.14279175,32.55563354,30.91728401,1.897305489,19.23180199
34.63568497,35.72049713,30.54046249,-1.498083591,47.47402191,-0.212121591,44.95089722,33.16987228,37.08044052,2.113582611,-1.820152402
33.62253189,35.45977783,28.92292786,-1.496246099,42.30737686,-0.225584984,47.74889374,32.77845764,35.19975662,2.088262081,4.874515533
35.13661957,35.81300354,35.48165894,-1.494408607,45.95185089,-0.206376508,48.27687836,33.10937881,37.57161331,2.150507927,10.76131153
35.37055969,35.69375992,33.42325211,-1.492571235,45.09109497,-0.214666516,47.26469803,33.16636276,35.35879517,2.090329885,8.223711014
37.01813126,35.86860275,35.08889771,-1.490733743,47.63962555,-0.190608844,47.11891174,33.38560104,42.09346008,2.471075773,7.934175491
34.88586807,35.83875275,32.8685112,-1.491428256,46.78100967,-0.203005791,45.64180374,33.27949524,44.01965714,2.472124338,11.13915825
